DatePaid;TrackingNumber;Location;LocationName;OSS360_PaymentType;BankName;Montant Total
09/09/2020;L04_01_20200909_41678;L04;Agence Evolis;Espèces;UBA BANK;2565926
10/09/2020;L04_01_20200910_41717;L04;Agence Evolis;Espèces;CITIBANK;858210
11/09/2020;L04_01_20200911_41771;L04;Agence Evolis;Espèces;CITIBANK;1004572
14/09/2020;L04_01_20200914_41813;L04;Agence Evolis;Espèces;BGFI BANK;1832587
15/09/2020;L04_01_20200915_41851;L04;Agence Evolis;Espèces;UBA BANK;1141689
16/09/2020;L04_01_20200916_41902;L04;Agence Evolis;Espèces;UBA BANK;1769671
17/09/2020;L04_01_20200917_41946;L04;Agence Evolis;Espèces;CITIBANK;1594241
18/09/2020;L04_01_20200918_42001;L04;Agence Evolis;Espèces;CITIBANK;1953449
21/09/2020;L04_01_20200921_42045;L04;Agence Evolis;Espèces;BGFI BANK;4339864
22/09/2020;L04_01_20200922_42089;L04;Agence Evolis;Espèces;UBA BANK;1943971
23/09/2020;L04_01_20200923_42131;L04;Agence Evolis;Espèces;UBA BANK;895944
24/09/2020;L04_01_20200924_42178;L04;Agence Evolis;Espèces;CITIBANK;1585523
25/09/2020;L04_01_20200925_42217;L04;Agence Evolis;Espèces;CITIBANK;1060863
28/09/2020;L04_01_20200928_42264;L04;Agence Evolis;Espèces; BGFI BANK                              ;662146
29/09/2020;L04_01_20200929_42315;L04;Agence Evolis;Espèces;UBA BANK;1959986
30/09/2020;L04_01_20200930_42363;L04;Agence Evolis;Espèces;UBA BANK;2354128
01/10/2020;L04_01_20201001_42411;L04;Agence Evolis;Espèces;CITIBANK;1118395
02/10/2020;L04_01_20201002_42459;L04;Agence Evolis;Espèces;CITIBANK;1378523
05/10/2020;L04_01_20201005_42503;L04;Agence Evolis;Espèces;BGFI BANK;843648
06/10/2020;L04_01_20201006_42542;L04;Agence Evolis;Espèces;UBA BANK;3472254
07/10/2020;L04_01_20201007_42591;L04;Agence Evolis;Espèces;UBA BANK;2908049
08/10/2020;L04_01_20201008_42644;L04;Agence Evolis;Espèces;CITIBANK;1510114
09/10/2020;L04_01_20201009_42693;L04;Agence Evolis;Espèces;CITIBANK;13998485
09/09/2020;L04_02_20200909_41677;L04;Agence Evolis;Chèque BGFI         ;UBA BANK;1657840
09/09/2020;L04_02_20200909_41677;L04;Agence Evolis;Chèque BICIG        ;UBA BANK;4115187
09/09/2020;L04_02_20200909_41677;L04;Agence Evolis;Chèque ORABANK      ;UBA BANK;9706515
10/09/2020;L04_02_20200910_41716;L04;Agence Evolis;Chèque BGFI         ;CITIBANK;3889819
10/09/2020;L04_02_20200910_41716;L04;Agence Evolis;Chèque BICIG        ;CITIBANK;464881
10/09/2020;L04_02_20200910_41716;L04;Agence Evolis;Chèque CDC          ;CITIBANK;45380
10/09/2020;L04_02_20200910_41716;L04;Agence Evolis;Chèque CITIGROUP    ;CITIBANK;4523601
10/09/2020;L04_02_20200910_41716;L04;Agence Evolis;Chèque ORABANK      ;CITIBANK;806290
11/09/2020;L04_02_20200911_41770;L04;Agence Evolis;Chèque BGFI         ;CITIBANK;2946667
11/09/2020;L04_02_20200911_41770;L04;Agence Evolis;Chèque BICIG        ;CITIBANK;4552157
11/09/2020;L04_02_20200911_41770;L04;Agence Evolis;Chèque ECOBANK      ;CITIBANK;911527
11/09/2020;L04_02_20200911_41770;L04;Agence Evolis;Chèque ORABANK      ;CITIBANK;159359
11/09/2020;L04_02_20200911_41770;L04;Agence Evolis;Chèque UGB          ;CITIBANK;1636133
14/09/2020;L04_02_20200914_41811;L04;Agence Evolis;Chèque BGFI         ;BGFI BANK;1719119
14/09/2020;L04_02_20200914_41811;L04;Agence Evolis;Chèque BICIG        ;BGFI BANK;59661
14/09/2020;L04_02_20200914_41811;L04;Agence Evolis;Chèque CDC          ;BGFI BANK;193500
14/09/2020;L04_02_20200914_41811;L04;Agence Evolis;Chèque CITIGROUP    ;BGFI BANK;4717821
14/09/2020;L04_02_20200914_41811;L04;Agence Evolis;Chèque ORABANK      ;BGFI BANK;3317139
14/09/2020;L04_02_20200914_41811;L04;Agence Evolis;Chèque UBA          ;BGFI BANK;1082952
14/09/2020;L04_02_20200914_41811;L04;Agence Evolis;Chèque UGB          ;BGFI BANK;186456
15/09/2020;L04_02_20200915_41849;L04;Agence Evolis;Chèque BGFI         ;UBA BANK;3262056
15/09/2020;L04_02_20200915_41849;L04;Agence Evolis;Chèque BICIG        ;UBA BANK;1688435
15/09/2020;L04_02_20200915_41849;L04;Agence Evolis;Chèque ECOBANK      ;UBA BANK;175448
15/09/2020;L04_02_20200915_41849;L04;Agence Evolis;Chèque UGB          ;UBA BANK;1195995
16/09/2020;L04_02_20200916_41901;L04;Agence Evolis;Chèque BGFI         ;UBA BANK;9548833
16/09/2020;L04_02_20200916_41901;L04;Agence Evolis;Chèque BICIG        ;UBA BANK;31633200
16/09/2020;L04_02_20200916_41901;L04;Agence Evolis;Chèque CDC          ;UBA BANK;600000
17/09/2020;L04_02_20200917_41944;L04;Agence Evolis;Chèque BGFI         ;CITIBANK;563778
17/09/2020;L04_02_20200917_41944;L04;Agence Evolis;Chèque BICIG        ;CITIBANK;1924292
17/09/2020;L04_02_20200917_41944;L04;Agence Evolis;Chèque CDC          ;CITIBANK;7500000
17/09/2020;L04_02_20200917_41944;L04;Agence Evolis;Chèque ECOBANK      ;CITIBANK;180007
17/09/2020;L04_02_20200917_41944;L04;Agence Evolis;Chèque ORABANK      ;CITIBANK;10341416
17/09/2020;L04_02_20200917_41944;L04;Agence Evolis;Chèque UGB          ;CITIBANK;4848513
18/09/2020;L04_02_20200918_42000;L04;Agence Evolis;Chèque BGFI         ;CITIBANK;6442474
18/09/2020;L04_02_20200918_42000;L04;Agence Evolis;Chèque BICIG        ;CITIBANK;7573309
18/09/2020;L04_02_20200918_42000;L04;Agence Evolis;Chèque CDC          ;CITIBANK;42934
18/09/2020;L04_02_20200918_42000;L04;Agence Evolis;Chèque ECOBANK      ;CITIBANK;80673
18/09/2020;L04_02_20200918_42000;L04;Agence Evolis;Chèque ORABANK      ;CITIBANK;750961
18/09/2020;L04_02_20200918_42000;L04;Agence Evolis;Chèque UBA          ;CITIBANK;249801
21/09/2020;L04_02_20200921_42044;L04;Agence Evolis;Chèque BGFI         ;BGFI BANK;3067942
